Time,Traj_X,Traj_Y,Traj_Z
66.98,0.373834,0.924439,0
66.985,0.37375,0.924485,0
66.99,0.373666,0.924531,0
66.995,0.373582,0.924576,0
67,0.373498,0.924622,0
67.005,0.373414,0.924668,0
67.01,0.373331,0.924714,0
67.015,0.373247,0.924759,0
67.02,0.373163,0.924805,0
67.025,0.373079,0.924851,0
67.03,0.372995,0.924896,0
67.035,0.372911,0.924942,0
67.04,0.372827,0.924988,0
67.045,0.372743,0.925034,0
67.05,0.37266,0.925079,0
67.055,0.372576,0.925125,0
67.06,0.372492,0.925171,0
67.065,0.372408,0.925216,0
67.07,0.372324,0.925262,0
67.075,0.37224,0.925308,0
67.08,0.372156,0.925353,0
67.085,0.372072,0.925399,0
67.09,0.371988,0.925444,0
67.095,0.371904,0.92549,0
67.1,0.37182,0.925536,0
67.105,0.371736,0.925581,0
67.11,0.371653,0.925627,0
67.115,0.371569,0.925673,0
67.12,0.371485,0.925718,0
67.125,0.371401,0.925764,0
67.13,0.371317,0.925809,0
67.135,0.371233,0.925855,0
67.14,0.371149,0.9259,0
67.145,0.371065,0.925946,0
67.15,0.370981,0.925992,0
67.155,0.370897,0.926037,0
67.16,0.370813,0.926083,0
67.165,0.370729,0.926128,0
67.17,0.370645,0.926174,0
67.175,0.370561,0.926219,0
67.18,0.370477,0.926265,0
67.185,0.370393,0.92631,0
67.19,0.370309,0.926356,0
67.195,0.370225,0.926401,0
67.2,0.370141,0.926447,0
67.205,0.370057,0.926492,0
67.21,0.369973,0.926538,0
67.215,0.369889,0.926583,0
67.22,0.369806,0.926628,0
67.225,0.369722,0.926674,0
67.23,0.369638,0.926719,0
67.235,0.369554,0.926765,0
67.24,0.36947,0.92681,0
67.245,0.369386,0.926856,0
67.25,0.369302,0.926901,0
67.255,0.369218,0.926946,0
67.26,0.369134,0.926992,0
67.265,0.369049,0.927037,0
67.27,0.368965,0.927083,0
67.275,0.368881,0.927128,0
67.28,0.368797,0.927173,0
67.285,0.368713,0.927219,0
67.29,0.368629,0.927264,0
67.295,0.368545,0.927309,0
67.3,0.368461,0.927355,0
67.305,0.368377,0.9274,0
67.31,0.368293,0.927445,0
67.315,0.368209,0.927491,0
67.32,0.368125,0.927536,0
67.325,0.368041,0.927581,0
67.33,0.367957,0.927627,0
67.335,0.367873,0.927672,0
67.34,0.367789,0.927717,0
67.345,0.367705,0.927763,0
67.35,0.367621,0.927808,0
67.355,0.367537,0.927853,0
67.36,0.367453,0.927898,0
67.365,0.367369,0.927944,0
67.37,0.367285,0.927989,0
67.375,0.367201,0.928034,0
67.38,0.367116,0.928079,0
67.385,0.367032,0.928125,0
67.39,0.366948,0.92817,0
67.395,0.366864,0.928215,0
67.4,0.36678,0.92826,0
67.405,0.366696,0.928305,0
67.41,0.366612,0.928351,0
67.415,0.366528,0.928396,0
67.42,0.366444,0.928441,0
67.425,0.36636,0.928486,0
67.43,0.366276,0.928531,0
67.435,0.366191,0.928576,0
67.44,0.366107,0.928622,0
67.445,0.366023,0.928667,0
67.45,0.365939,0.928712,0
67.455,0.365855,0.928757,0
67.46,0.365771,0.928802,0
67.465,0.365687,0.928847,0
67.47,0.365603,0.928892,0
67.475,0.365519,0.928937,0
67.48,0.365434,0.928983,0
67.485,0.36535,0.929028,0
67.49,0.365266,0.929073,0
67.495,0.365182,0.929118,0
67.5,0.365098,0.929163,0
67.505,0.365014,0.929208,0
67.51,0.36493,0.929253,0
67.515,0.364845,0.929298,0
67.52,0.364761,0.929343,0
67.525,0.364677,0.929388,0
67.53,0.364593,0.929433,0
67.535,0.364509,0.929478,0
67.54,0.364425,0.929523,0
67.545,0.36434,0.929568,0
67.55,0.364256,0.929613,0
67.555,0.364172,0.929658,0
67.56,0.364088,0.929703,0
67.565,0.364004,0.929748,0
67.57,0.36392,0.929793,0
67.575,0.363835,0.929838,0
67.58,0.363751,0.929883,0
67.585,0.363667,0.929928,0
67.59,0.363583,0.929973,0
67.595,0.363499,0.930018,0
67.6,0.363414,0.930063,0
67.605,0.36333,0.930108,0
67.61,0.363246,0.930153,0
67.615,0.363162,0.930197,0
67.62,0.363078,0.930242,0
67.625,0.362993,0.930287,0
67.63,0.362909,0.930332,0
67.635,0.362825,0.930377,0
67.64,0.362741,0.930422,0
67.645,0.362657,0.930467,0
67.65,0.362572,0.930512,0
67.655,0.362488,0.930556,0
67.66,0.362404,0.930601,0
67.665,0.36232,0.930646,0
67.67,0.362235,0.930691,0
67.675,0.362151,0.930736,0
67.68,0.362067,0.930781,0
67.685,0.361983,0.930825,0
67.69,0.361899,0.93087,0
67.695,0.361814,0.930915,0
67.7,0.36173,0.93096,0
67.705,0.361646,0.931005,0
67.71,0.361562,0.931049,0
67.715,0.361477,0.931094,0
67.72,0.361393,0.931139,0
67.725,0.361309,0.931184,0
67.73,0.361225,0.931228,0
67.735,0.36114,0.931273,0
67.74,0.361056,0.931318,0
67.745,0.360972,0.931363,0
67.75,0.360887,0.931407,0
67.755,0.360803,0.931452,0
