Time,Rocket_X,Rocket_Y,Rocket_Z
70.3,0.847745,-0.252516,0
70.4,0.846823,-0.252111,0
70.5,0.845897,-0.251704,0
70.6,0.844967,-0.251296,0
70.7,0.844034,-0.250887,0
70.8,0.843097,-0.250477,0
70.9,0.842156,-0.250066,0
71,0.841212,-0.249654,0
71.1,0.840264,-0.249241,0
71.2,0.839312,-0.248827,0
71.3,0.838357,-0.248412,0
71.4,0.837398,-0.247995,0
71.5,0.836435,-0.247578,0
71.6,0.835468,-0.247159,0
71.7,0.834498,-0.246739,0
71.8,0.833524,-0.246318,0
71.9,0.832547,-0.245896,0
72,0.831565,-0.245473,0
72.1,0.83058,-0.245049,0
72.2,0.829591,-0.244624,0
72.3,0.828598,-0.244197,0
72.4,0.827602,-0.24377,0
72.5,0.826601,-0.243341,0
72.6,0.825597,-0.242911,0
72.7,0.824589,-0.24248,0
72.8,0.823577,-0.242048,0
72.9,0.822562,-0.241615,0
73,0.821542,-0.241181,0
73.1,0.820519,-0.240745,0
73.2,0.819491,-0.240309,0
73.3,0.81846,-0.239871,0
73.4,0.817425,-0.239432,0
73.5,0.816386,-0.238992,0
73.6,0.815343,-0.238551,0
73.7,0.814297,-0.238109,0
73.8,0.813246,-0.237666,0
73.9,0.812191,-0.237221,0
74,0.811133,-0.236775,0
74.1,0.81007,-0.236328,0
74.2,0.809004,-0.23588,0
74.3,0.807933,-0.235431,0
74.4,0.806859,-0.234981,0
74.5,0.80578,-0.234529,0
74.6,0.804697,-0.234076,0
74.7,0.803611,-0.233623,0
74.8,0.80252,-0.233167,0
74.9,0.801426,-0.232711,0
75,0.800327,-0.232254,0
75.1,0.799224,-0.231795,0
75.2,0.798117,-0.231335,0
75.3,0.797006,-0.230874,0
75.4,0.795891,-0.230412,0
75.5,0.794772,-0.229949,0
75.6,0.793648,-0.229484,0
75.7,0.792521,-0.229018,0
75.8,0.791389,-0.228551,0
75.9,0.790253,-0.228083,0
76,0.789113,-0.227614,0
76.1,0.787968,-0.227143,0
76.2,0.78682,-0.226671,0
76.3,0.785667,-0.226198,0
76.4,0.78451,-0.225724,0
76.5,0.783349,-0.225249,0
76.6,0.782183,-0.224772,0
76.7,0.781014,-0.224294,0
76.8,0.77984,-0.223815,0
76.9,0.778661,-0.223334,0
77,0.777478,-0.222853,0
77.1,0.776291,-0.22237,0
77.2,0.7751,-0.221886,0
77.3,0.773904,-0.2214,0
77.4,0.772704,-0.220914,0
77.5,0.7715,-0.220426,0
77.6,0.770291,-0.219937,0
77.7,0.769077,-0.219446,0
77.8,0.767859,-0.218954,0
77.9,0.766637,-0.218462,0
78,0.76541,-0.217967,0
78.1,0.764179,-0.217472,0
78.2,0.762944,-0.216975,0
78.3,0.761703,-0.216477,0
78.4,0.760459,-0.215978,0
78.5,0.759209,-0.215477,0
78.6,0.757956,-0.214975,0
78.7,0.756697,-0.214472,0
78.8,0.755434,-0.213967,0
78.9,0.754167,-0.213461,0
79,0.752894,-0.212954,0
79.1,0.751618,-0.212446,0
79.2,0.750336,-0.211936,0
79.3,0.74905,-0.211425,0
79.4,0.747759,-0.210913,0
79.5,0.746463,-0.210399,0
79.6,0.745163,-0.209884,0
79.7,0.743858,-0.209367,0
79.8,0.742548,-0.20885,0
79.9,0.741234,-0.20833,0
80,0.739914,-0.20781,0
80.1,0.73859,-0.207288,0
80.2,0.737261,-0.206765,0
80.3,0.735927,-0.206241,0
80.4,0.734589,-0.205715,0
80.5,0.733245,-0.205188,0
80.6,0.731897,-0.204659,0
80.7,0.730543,-0.204129,0
80.8,0.729185,-0.203598,0
80.9,0.727822,-0.203065,0
81,0.726454,-0.202531,0
81.1,0.72508,-0.201995,0
81.2,0.723702,-0.201458,0
81.3,0.722319,-0.20092,0
81.4,0.72093,-0.20038,0
81.5,0.719537,-0.199839,0
81.6,0.718138,-0.199297,0
81.7,0.716735,-0.198753,0
81.8,0.715326,-0.198207,0
81.9,0.713912,-0.19766,0
82,0.712493,-0.197112,0
82.1,0.711068,-0.196562,0
82.2,0.709639,-0.196011,0
82.3,0.708204,-0.195459,0
82.4,0.706764,-0.194905,0
82.5,0.705319,-0.194349,0
82.6,0.703868,-0.193792,0
82.7,0.702412,-0.193234,0
82.8,0.700951,-0.192674,0
82.9,0.699484,-0.192112,0
83,0.698012,-0.191549,0
83.1,0.696534,-0.190985,0
83.2,0.695051,-0.190419,0
83.3,0.693562,-0.189852,0
83.4,0.692068,-0.189283,0
83.5,0.690569,-0.188713,0
83.6,0.689064,-0.188141,0
83.7,0.687553,-0.187567,0
83.8,0.686037,-0.186992,0
83.9,0.684515,-0.186416,0
84,0.682987,-0.185838,0
84.1,0.681454,-0.185258,0
84.2,0.679915,-0.184677,0
84.3,0.67837,-0.184094,0
84.4,0.67682,-0.18351,0
84.5,0.675263,-0.182924,0
84.6,0.673701,-0.182337,0
84.7,0.672133,-0.181748,0
84.8,0.67056,-0.181157,0
84.9,0.66898,-0.180565,0
85,0.667394,-0.179971,0
85.1,0.665803,-0.179376,0
85.2,0.664205,-0.178779,0
85.3,0.662601,-0.17818,0
85.4,0.660992,-0.17758,0
85.5,0.659376,-0.176978,0
85.6,0.657754,-0.176375,0
85.7,0.656126,-0.17577,0
85.8,0.654492,-0.175163,0
85.9,0.652851,-0.174554,0
86,0.651205,-0.173944,0
86.1,0.649552,-0.173332,0
86.2,0.647893,-0.172719,0
86.3,0.646227,-0.172104,0
86.4,0.644555,-0.171487,0
86.5,0.642877,-0.170868,0
86.6,0.641192,-0.170248,0
86.7,0.639501,-0.169626,0
86.8,0.637803,-0.169002,0
86.9,0.636099,-0.168376,0
87,0.634388,-0.167749,0
87.1,0.63267,-0.16712,0
87.2,0.630946,-0.166489,0
87.3,0.629215,-0.165857,0
87.4,0.627477,-0.165223,0
87.5,0.625733,-0.164587,0
87.6,0.623982,-0.163949,0
87.7,0.622224,-0.163309,0
87.8,0.620459,-0.162668,0
87.9,0.618687,-0.162024,0
88,0.616908,-0.161379,0
88.1,0.615122,-0.160732,0
88.2,0.613329,-0.160083,0
88.3,0.611529,-0.159433,0
88.4,0.609722,-0.15878,0
88.5,0.607907,-0.158126,0
88.6,0.606086,-0.157469,0
88.7,0.604257,-0.156811,0
88.8,0.60242,-0.156151,0
88.9,0.600577,-0.155489,0
89,0.598726,-0.154825,0
89.1,0.596867,-0.154159,0
89.2,0.595001,-0.153492,0
89.3,0.593127,-0.152822,0
89.4,0.591246,-0.15215,0
89.5,0.589357,-0.151477,0
89.6,0.587461,-0.150801,0
89.7,0.585556,-0.150123,0
89.8,0.583644,-0.149444,0
89.9,0.581724,-0.148762,0
90,0.579796,-0.148078,0
90.1,0.57786,-0.147392,0
90.2,0.575916,-0.146705,0
90.3,0.573964,-0.146015,0
90.4,0.572003,-0.145323,0
90.5,0.570035,-0.144629,0
90.6,0.568058,-0.143933,0
90.7,0.566073,-0.143235,0
90.8,0.56408,-0.142534,0
90.9,0.562078,-0.141832,0
91,0.560067,-0.141127,0
91.1,0.558048,-0.14042,0
91.2,0.556021,-0.139711,0
91.3,0.553984,-0.139,0
91.4,0.551939,-0.138287,0
91.5,0.549885,-0.137571,0
91.6,0.547822,-0.136853,0
91.7,0.54575,-0.136133,0
91.8,0.543669,-0.135411,0
91.9,0.541579,-0.134687,0
92,0.53948,-0.13396,0
92.1,0.537372,-0.133231,0
92.2,0.535254,-0.132499,0
